manuscript,words,characters,tables,figures,illustrations,pages
1,5989,31291,3,4,7,18
2,1549,7861,1,0,1,4
3,3603,16689,0,3,3,9
4,5454,25657,2,3,5,13
5,3602,20269,1,2,3,11
6,6812,37627,3,4,7,16
7,3691,17233,2,3,5,12
8,3927,16890,3,2,5,10
9,4728,21819,3,4,7,13
10,5800,32105,3,4,7,18
11,3631,19860,3,4,7,12
12,3813,19480,3,3,6,10
13,4377,24173,2,2,4,12
14,7576,32857,1,4,5,18
15,2084,11794,0,4,4,7
16,4225,20530,0,4,4,12
17,4395,27212,0,3,3,11
18,3383,18981,5,2,7,11
19,4588,27437,1,2,3,10
20,3700,22919,3,3,6,10
21,1408,6194,1,3,4,5
22,6395,29796,5,5,10,20
23,6070,26692,1,4,5,14
24,994,4665,1,1,2,3
25,4932,21094,2,4,6,14
26,6413,29078,2,7,9,17
27,5047,26952,2,3,5,13
28,3090,13597,2,2,4,8
29,6065,28765,4,3,7,16
30,1181,6691,0,1,1,4
31,1755,8510,2,2,4,6
32,5600,34429,3,1,4,12
33,3100,16680,2,3,5,9
34,5824,27041,3,2,5,13
35,7405,37708,1,1,2,16
36,8112,46522,8,3,11,23
37,1030,6093,2,3,5,5
38,1075,5692,0,2,2,4
39,3161,17853,0,3,3,8
40,5140,27169,2,4,6,13
41,5260,32205,0,2,2,12
42,4452,21701,0,4,4,12
