c3,c4,map,mat,jjamap,djfmap,long,lat,lc3,lc4,clong,clat,resid1,predict1
0.65,0,199,12.4,0.12,0.45,119.55,46.4,-0.124938737,-1,13.14986301,6.295753425,-0.029229334,-0.095709403
0.65,0,469,7.5,0.24,0.29,114.27,47.32,-0.124938737,-1,7.869863014,7.215753425,-0.028808495,-0.096130242
0.76,0.01,536,7.2,0.24,0.2,110.78,45.78,-0.065501549,-0.958607315,4.379863014,5.675753425,0.168066337,-0.233567886
0.75,0.18,476,8.2,0.35,0.15,101.87,43.95,-0.070581074,-0.552841969,-4.530136986,3.845753425,0.323799098,-0.394380172
0.33,0.28,484,4.8,0.4,0.14,102.82,46.9,-0.366531544,-0.420216403,-3.580136986,6.795753425,-0.096909928,-0.269621617
0.03,0.83,623,12,0.4,0.11,99.38,38.87,-0.886056648,-0.031517051,-7.020136986,-1.234246575,-0.311000817,-0.575055831
0,0.31,259,14.5,0.47,0.17,106.75,32.62,-1,-0.387216143,0.349863014,-7.484246575,-0.07805559,-0.92194441
0.02,0.87,969,15.3,0.3,0.14,96.55,36.95,-0.920818754,-0.013228266,-9.850136986,-3.154246575,-0.310602766,-0.610215988
0.05,0.72,542,13.9,0.44,0.13,101.53,35.3,-0.823908741,-0.086186148,-4.870136986,-4.804246575,-0.103718216,-0.720190525
0.05,0.44,421,8.5,0.31,0.14,104.6,40.82,-0.823908741,-0.26760624,-1.800136986,0.715753425,-0.307346581,-0.51656216
0.36,0.41,446,5.1,0.41,0.15,102.5,47.75,-0.337242168,-0.292429824,-3.900136986,7.645753425,-0.097217769,-0.240024399
0,0.5,376,11.2,0.51,0.17,105.55,33.48,-1,-0.22184875,-0.850136986,-6.624246575,-0.141350847,-0.858649153
0.21,0.7,661,17.8,0.27,0.16,99.23,33.33,-0.508638306,-0.096910013,-7.170136986,-6.774246575,0.244260809,-0.752899115
0.51,0.25,575,6.1,0.36,0.16,99.1,45.33,-0.214670165,-0.455931956,-7.300136986,5.225753425,0.152462599,-0.367132764
0.07,0.78,885,12.9,0.37,0.12,96.6,39.1,-0.769551079,-0.055517328,-9.800136986,-1.004246575,-0.215446363,-0.554104716
0.29,0.7,556,8.6,0.38,0.12,101.8,41.55,-0.408935393,-0.096910013,-4.600136986,1.445753425,0.077154436,-0.486089829
0.05,0,344,6.6,0.18,0.35,112.67,43.73,-0.823908741,-1,6.269863014,3.625753425,-0.481468095,-0.342440646
0.13,0,415,6,0.22,0.33,112.15,44.25,-0.638272164,-1,5.749863014,4.145753425,-0.324825739,-0.313446425
0,0.31,347,18.9,0.41,0.12,102.92,29.58,-1,-0.387216143,-3.480136986,-10.52424658,-0.029196515,-0.970803485
0.65,0.13,575,5.3,0.36,0.13,103.45,43.53,-0.124938737,-0.638272164,-2.950136986,3.425753425,0.27736623,-0.402304967
0,0.76,477,13.9,0.5,0.22,110.5,31.6,-1,-0.065501549,4.099863014,-8.504246575,0.053606874,-1.053606874
0.89,0,370,3.5,0.45,0.19,107.72,50.7,-0.004364805,-1,1.319863014,10.59575342,0.007697341,-0.012062146
0.08,0.3,537,16.7,0.32,0.12,101.18,32.97,-0.744727495,-0.397940009,-5.220136986,-7.134246575,0.056141284,-0.800868778
0.47,0.37,870,15.4,0.29,0.15,97.23,36.05,-0.244125144,-0.327902142,-9.170136986,-4.054246575,0.397643239,-0.641768384
0,0,356,7.3,0.18,0.31,113.08,41.87,-1,-1,6.679863014,1.765753425,-0.541851922,-0.458148078
0,0.42,570,12.2,0.42,0.24,109.12,32,-1,-0.283996656,2.719863014,-8.104246575,0.001808112,-1.001808112
0.21,0.48,457,8.8,0.36,0.13,102.33,43.75,-0.508638306,-0.236572006,-4.070136986,3.645753425,-0.109210452,-0.399427854
0.29,0,327,9.5,0.16,0.31,113.25,38.17,-0.408935393,-1,6.849863014,-1.934246575,0.285119229,-0.694054622
0.35,0.31,176,13.8,0.25,0.28,111.87,37.1,-0.346787486,-0.387216143,5.469863014,-3.004246575,0.402661465,-0.749448951
0.28,0.4,345,6.4,0.46,0.14,104.47,45.03,-0.420216403,-0.301029996,-1.930136986,4.925753425,-0.089223466,-0.330992938
0.45,0,405,5.9,0.4,0.12,116.75,39.82,-0.259637311,-1,10.34986301,-0.284246575,0.340376018,-0.600013329
0.31,0,375,5.7,0.16,0.29,107.17,41.42,-0.387216143,-1,0.769863014,1.315753425,0.1017529,-0.488969043
0.02,0.11,231,12.1,0.29,0.21,111.3,38.52,-0.920818754,-0.677780705,4.899863014,-1.584246575,-0.261088373,-0.659730381
0.49,0,723,11.2,0.14,0.34,111.95,40.17,-0.229147988,-1,5.549863014,0.065753425,0.334101252,-0.563249241
0.36,0,365,6.9,0.15,0.31,114.9,39.16,-0.337242168,-1,8.499863014,-0.944246575,0.301391816,-0.638633984
0.01,0.95,373,11.5,0.35,0.18,104.5,38.55,-0.958607315,0.021189299,-1.900136986,-1.554246575,-0.3419987,-0.616608615
0,0.6,733,9.4,0.23,0.37,112.35,35.27,-1,-0.15490196,5.949863014,-4.834246575,-0.132979211,-0.867020789
