Dens	Gras	Leg	Forb	GrasLeg	GrasForb	LegForb	Interaction	Height
-1	0.1	0.8	0.1	0.08	0.01	0.08	0.17	8.2
-1	0.8	0.1	0.1	0.08	0.08	0.01	0.17	8.4
-1	0.5	0	0.5	0	0.25	0	0.25	10.1
-1	0	0.5	0.5	0	0	0.25	0.25	6.2
-1	0.45	0.1	0.45	0.045	0.2025	0.045	0.2925	8.6
-1	0.45	0.45	0.1	0.2025	0.045	0.045	0.2925	8
-1	0	1	0	0	0	0	0	5.7
-1	0	0	1	0	0	0	0	4.7
-1	0.5	0.5	0	0.25	0	0	0.25	8.4
-1	0.1	0.45	0.45	0.045	0.045	0.2025	0.2925	5.4
-1	0.1	0.1	0.8	0.01	0.08	0.08	0.17	6.6
-1	1	0	0	0	0	0	0	8.5
-1	0.334	0.334	0.334	0.111556	0.111556	0.111556	0.334668	6.2
1	1	0	0	0	0	0	0	9.3
1	0.5	0	0.5	0	0.25	0	0.25	7.3
1	0	1	0	0	0	0	0	5.9
1	0.45	0.45	0.1	0.2025	0.045	0.045	0.2925	8.5
1	0.1	0.8	0.1	0.08	0.01	0.08	0.17	7.6
1	0	0	1	0	0	0	0	6.2
1	0	0.5	0.5	0	0	0.25	0.25	4.1
1	0.1	0.1	0.8	0.01	0.08	0.08	0.17	5.3
1	0.8	0.1	0.1	0.08	0.08	0.01	0.17	9.8
1	0.334	0.334	0.334	0.111556	0.111556	0.111556	0.334668	5.7
1	0.45	0.1	0.45	0.045	0.2025	0.045	0.2925	8.6
1	0.5	0.5	0	0.25	0	0	0.25	7.3
1	0.1	0.45	0.45	0.045	0.045	0.2025	0.2925	7.6
1	0	0.5	0.5	0	0	0.25	0.25	5.4
1	0.334	0.334	0.334	0.111556	0.111556	0.111556	0.334668	7.8
1	0.8	0.1	0.1	0.08	0.08	0.01	0.17	9.7
1	0.5	0	0.5	0	0.25	0	0.25	9.5
1	0.1	0.1	0.8	0.01	0.08	0.08	0.17	6.9
1	0.45	0.1	0.45	0.045	0.2025	0.045	0.2925	8.6
1	1	0	0	0	0	0	0	10.6
1	0.45	0.45	0.1	0.2025	0.045	0.045	0.2925	8
1	0.1	0.45	0.45	0.045	0.045	0.2025	0.2925	8.4
1	0.5	0.5	0	0.25	0	0	0.25	7.8
1	0	1	0	0	0	0	0	6.5
1	0.1	0.8	0.1	0.08	0.01	0.08	0.17	5.7
1	0	0	1	0	0	0	0	5.2
-1	0.5	0	0.5	0	0.25	0	0.25	5.2
-1	0	0	1	0	0	0	0	5.3
-1	0.1	0.8	0.1	0.08	0.01	0.08	0.17	8.1
-1	0.334	0.334	0.334	0.111556	0.111556	0.111556	0.334668	7.8
-1	0.8	0.1	0.1	0.08	0.08	0.01	0.17	8.3
-1	0	1	0	0	0	0	0	7.1
-1	0.1	0.1	0.8	0.01	0.08	0.08	0.17	6.6
-1	1	0	0	0	0	0	0	7.9
-1	0.45	0.1	0.45	0.045	0.2025	0.045	0.2925	7.1
-1	0	0.5	0.5	0	0	0.25	0.25	6.2
-1	0.1	0.45	0.45	0.045	0.045	0.2025	0.2925	6.1
-1	0.45	0.45	0.1	0.2025	0.045	0.045	0.2925	7.3
-1	0.5	0.5	0	0.25	0	0	0.25	7.9
