smolt ID,Survival Binary,Smolt RTL (log),FW age
smolt183D,0,0.242,4
smolt1BF5,0,0.125,3
smolt1EFA,0,0.029,2
smolt1F55,0,-0.065,2
smolt210A,0,-0.058,3
smolt2226,0,0.052,not established
smolt25C5,0,0.154,3
smolt26C7,0,0.18,2
smolt27DB,0,0.228,2
smolt27F5,0,-0.084,3
smolt29A7,0,-0.072,3
smolt2AEE,0,-0.023,2
smolt2BD5,0,-0.031,3
smolt2C5D,0,-0.005,3
smolt3248,0,0.036,2
smolt32DD,0,-0.018,3
smolt34C4,0,0.129,3
smolt355F,0,0.147,2
smolt3623,0,0.028,3
smolt36E2,0,0.089,3
smolt370E,0,0.065,3
smolt39C4,0,0.045,2
smolt3C92,0,0.09,3
smolt3DC7,0,0.022,2
smolt3F2E,0,0.148,3
smolt3FBE,0,-0.06,3
smolt40F7,0,-0.035,3
smolt49D0,0,-0.028,3
smolt4B23,0,-0.017,not established
smolt50CC,0,-0.081,3
smolt5406,0,-0.151,3
smolt5457,0,0.126,3
smolt54A0,0,-0.033,3
smolt5627,0,0.178,3
smolt58D3,0,0.135,2
smolt59C4,0,-0.054,3
smolt5A5D,0,-0.056,3
smolt5ACC,0,0.078,3
smolt5DF5,0,-0.065,3
smolt61BD,0,0.075,3
smolt62C2,0,0.048,2
smolt6543,0,0.122,2
smolt6596,0,-0.022,3
smolt6933,0,0.025,2
smolt6A94,0,0.498,3
smolt6B62,0,0.151,3
smolt1889,1,-0.059,2
smolt18B8,1,0.055,4
smolt1ABF,1,-0.09,2
smolt1B57,1,0.233,3
smolt1C82,1,-0.064,2
smolt1F4B,1,-0.047,3
smolt1F4C,1,-0.05,3
smolt1F67,1,-0.019,3
smolt2A48,1,-0.039,3
smolt2E85,1,-0.04,3
smolt3345,1,-0.069,3
smolt39B4,1,0.079,3
smolt3C11,1,-0.046,3
smolt450C,1,0.048,3
smolt4947,1,-0.083,3
smolt4A01,1,-0.055,3
smolt4F8D,1,-0.082,2
smolt567B,1,-0.029,3
smolt585D,1,0.085,3
smolt5AED,1,0.089,3
smolt5EE9,1,-0.027,3
smolt62B0,1,0.003,3
smolt64EB,1,0.063,2
