Longitude,Latitude
-4.25,55.83333
-4.25,55.83333
32.86445,39.92722
32.86445,39.92722
65.50917,44.85278
65.50917,44.85278
65.50917,44.85278
28.71431,45.06249
26.92286,43.27065
31,30.83333
27.46781,42.50606
-97.1471,49.8843
55.28,25.25222
25.56944,41.94028
44.58583,48.80472
41.9,48.64861
36.55444,40.31389
36.55444,40.31389
36.55444,40.31389
73.85674,18.52043
77.4,23.26667
72.61667,23.03333
72.61667,23.03333
72.61667,23.03333
72.61667,23.03333
72.61667,23.03333
72.61667,23.03333
32.58313,0.33508
30.35,13.08333
73.06667,33.6
73.06667,33.6
73.06667,33.6
73.06667,33.6
67.05,24.86667
67.05,24.86667
67.05,24.86667
67.05,24.86667
67.05,24.86667
67.05,24.86667
67.05,24.86667
67.05,24.86667
67.05,24.86667
71.47528,30.19556
28.22945,-25.70694
73.06055,33.71815
73.06055,33.71815
51.42306,35.69611
44.7802,43.2131
44.7802,43.2131
69.41666,34.5
39.83333,40.91667
39.83333,40.91667
34.87095,41.77106
25.5,41.08333
73.25,34.5
73.25,34.5
68.5,43.333
68.5,43.333
69.84949,38.49763
22.25,40.5
32.57618,0.3392
48.04,46.34
26.40639,40.14556
40.06667,38.38333
32.85718,39.93267
65.50049,44.84029
26.3,-32.7
26.3,-32.7
42.47423,47.16062
33.1101,40.626
29.06111,40.19167
25.87446,40.8496
25.87446,40.8496
25.87446,40.8496
25.87446,40.8496
69.78454,37.91458
25.39639,41.12278
62.19,34.34
62.19,34.34
78.78333,28.83333
78.78333,28.83333
70.91808,26.91468
67.0125,30.18722
67.0125,30.18722
67.0125,30.18722
67.0125,30.18722
67.0125,30.18722
67.0125,30.18722
72.49277,33.90972
72.49277,33.90972
68.77389,38.56
72.36749,22.82552
73.06667,19.3
21.507,42.453
43.52,44.668
41.97333,45.04278
20.92621,42.5814
20.92621,42.5814
20.92621,42.5814
20.92621,42.5814
20.92621,42.5814
71.23333,21.61667
26.2,-29.13333
26.2,-29.13333
26.2,-29.13333
66.75,44.16667
73.20168,34.14521
68.23028,38.51083
68.25,43.333
59.612,36.296
59.612,36.296
73.02316,26.28161
73.02316,26.28161
73.02316,26.28161
19.65,-26.8
19.65,-26.8
35.48528,38.73222
73.23578,34.20278
73.23578,34.20278
73.0576,33.6401
73.0576,33.6401
73.0576,33.6401
73.0576,33.6401
73.0576,33.6401
73.0576,33.6401
73.0576,33.6401
73.0576,33.6401
73.23769,34.20378
73.0559,33.6122
73.07197,33.62771
33.33333,2.83333
33.33333,2.83333
33.33333,2.83333
