smolt.ID,Survival.Binary,FW.age,Smolt.RTL
smolt183D,0,4,1.273794193
smolt1BF5,0,3,1.133148453
smolt1EFA,0,2,1.029424594
smolt1F55,0,2,0.937067463
smolt210A,0,3,0.943649947
smolt2226,0,not established,1.053375743
smolt25C5,0,3,1.166490887
smolt26C7,0,2,1.197217363
smolt27DB,0,2,1.256085325
smolt27F5,0,3,0.919431256
smolt29A7,0,3,0.930530896
smolt2AEE,0,2,0.977262484
smolt2BD5,0,3,0.969475573
smolt2C5D,0,3,0.995012479
smolt3248,0,2,1.036655846
smolt32DD,0,3,0.982161032
smolt34C4,0,3,1.137690124
smolt355F,0,2,1.158353963
smolt3623,0,3,1.028395684
smolt36E2,0,3,1.093080656
smolt370E,0,3,1.067159024
smolt39C4,0,2,1.04602786
smolt3C92,0,3,1.094174284
smolt3DC7,0,2,1.022243784
smolt3F2E,0,3,1.159512896
smolt3FBE,0,3,0.941764534
smolt40F7,0,3,0.965605416
smolt49D0,0,3,0.972388367
smolt4B23,0,not established,0.983143685
smolt50CC,0,3,0.922193691
smolt5406,0,3,0.859847699
smolt5457,0,3,1.134282168
smolt54A0,0,3,0.96753856
smolt5627,0,3,1.194825321
smolt58D3,0,2,1.144536784
smolt59C4,0,3,0.947432107
smolt5A5D,0,3,0.945539136
smolt5ACC,0,3,1.081122659
smolt5DF5,0,3,0.937067463
smolt61BD,0,3,1.077884151
smolt62C2,0,2,1.049170655
smolt6543,0,2,1.129754102
smolt6596,0,3,0.978240235
smolt6933,0,2,1.025315121
smolt6A94,0,3,1.645427123
smolt6B62,0,3,1.162996658
smolt1889,1,2,0.942706769
smolt18B8,1,4,1.056540615
smolt1ABF,1,2,0.913931185
smolt1B57,1,3,1.262381479
smolt1C82,1,2,0.938005
smolt1F4B,1,3,0.954087398
smolt1F4C,1,3,0.951229425
smolt1F67,1,3,0.981179362
smolt2A48,1,3,0.961750709
smolt2E85,1,3,0.960789439
smolt3345,1,3,0.93332668
smolt39B4,1,3,1.082204322
smolt3C11,1,3,0.955041962
smolt450C,1,3,1.049170655
smolt4947,1,3,0.920351147
smolt4A01,1,3,0.946485148
smolt4F8D,1,2,0.921271959
smolt567B,1,3,0.971416464
smolt585D,1,3,1.088717067
smolt5AED,1,3,1.093080656
smolt5EE9,1,3,0.973361242
smolt62B0,1,3,1.003004505
smolt64EB,1,2,1.065026839
