country,park,species,lambda,cf,bm,pa.size
South_Africa,Addo-Elephant NP,Loxodonta_africana,1.0641,0.5,3824.54,1640
Kenya,Amboseli NP,Giraffa_camelopardalis,0.9506,0,964.65,392
Kenya,Amboseli NP,Loxodonta_africana,1.0541,0,3824.54,392
Burkina_Faso,Arly NP,Loxodonta_africana,1.257,0,3824.54,760
Uganda,Bokora Corridor Wildlife Reserve,Kobus_kob,0.9122,0.4808,80.04,1816
Uganda,Bokora Corridor Wildlife Reserve,Nanger_granti,0.8195,0.4808,55.46,1816
Uganda,Bokora Corridor Wildlife Reserve,Sylvicapra_grimmia,0.861,0.4808,15.64,1816
Kenya,Borana Private Ranch,Loxodonta_africana,0.9887,0,3824.54,141
Tanzania,Burigi GR and Biharamulo GR,Loxodonta_africana,1.0609,0.04,3824.54,3500
Namibia,Caprivi Forest Reserve,Loxodonta_africana,1.1168,0.0357,3824.54,1484
Zimbabwe,Chete Safari Area,Loxodonta_africana,1.0048,0,3824.54,1081
Zimbabwe,Chewore Safari Area,Loxodonta_africana,1.0574,0.05,3824.54,3390
Zimbabwe,Chirisa Safari Area,Loxodonta_africana,1.0199,0,3824.54,1713
Zimbabwe,Chizarira NP,Loxodonta_africana,0.9955,0,3824.54,1910
Ivory_Coast,Comoe NP,Alcelaphus_buselaphus,0.9552,0,160.94,11492
Ivory_Coast,Comoe NP,Cephalophus_rufilatus,0.8941,0,12.11,11492
Ivory_Coast,Comoe NP,Hippotragus_equinus,0.9406,0,264.17,11492
Ivory_Coast,Comoe NP,Kobus_ellipsiprymnus,0.933,0,204.39,11492
Ivory_Coast,Comoe NP,Kobus_kob,0.8856,0,80.04,11492
Ivory_Coast,Comoe NP,Loxodonta_africana,0,0,3824.54,11492
Ivory_Coast,Comoe NP,Ourebia_ourebi,0.8838,0,17.19,11492
Ivory_Coast,Comoe NP,Phacochoerus_africanus,0.9073,0,82.5,11492
Ivory_Coast,Comoe NP,Philantomba_maxwelli,0.8832,0,8.56,11492
Ivory_Coast,Comoe NP,Sylvicapra_grimmia,0.8832,0,15.64,11492
Ivory_Coast,Comoe NP,Syncerus_caffer,1.0216,0,592.67,11492
Ivory_Coast,Comoe NP,Tragelaphus_scriptus,0.8866,0,43.25,11492
Zimbabwe,Dande Safari Area,Loxodonta_africana,1.0067,0,3824.54,523
CAR,Dzanga-Ndoki,Loxodonta_africana,1.08,0,3824.54,1143
Namibia,Etosha NP,Loxodonta_africana,1.036,0,3824.54,22941
DRC,Garamba NP,Loxodonta_africana,1.165,0.4125,3824.54,14766
Zimbabwe,Gonarezhou NP,Aepyceros_melampus,1.1024,0,52.59,5053
Zimbabwe,Gonarezhou NP,Connochaetes_taurinus,0,0.4,198.62,5053
Zimbabwe,Gonarezhou NP,Equus_burchellii,1.1067,0.4,279.16,5053
Zimbabwe,Gonarezhou NP,Giraffa_camelopardalis,1.3572,0.3929,964.65,5053
Zimbabwe,Gonarezhou NP,Hippopotamus_amphibius,0.5503,0.1786,1536.31,5053
Zimbabwe,Gonarezhou NP,Hippotragus_niger,1.3161,0.4,236.41,5053
Zimbabwe,Gonarezhou NP,Kobus_ellipsiprymnus,0,0.2857,204.39,5053
Zimbabwe,Gonarezhou NP,Loxodonta_africana,1.1347,0.4,3824.54,5053
Zimbabwe,Gonarezhou NP,Phacochoerus_africanus,1.0283,0,82.5,5053
Zimbabwe,Gonarezhou NP,Syncerus_caffer,1.0533,0.4,592.67,5053
Zimbabwe,Gonarezhou NP,Taurotragus_oryx,0,0.2857,562.59,5053
Zimbabwe,Gonarezhou NP,Tragelaphus_angasii,0.8548,0.2857,87.62,5053
Zimbabwe,Gonarezhou NP,Tragelaphus_strepsiceros,0.8919,0.2857,206.06,5053
Zimbabwe,Gonarezhou NP; Malipati Safari Area; and Mahenye Wildlife Magament Area,Loxodonta_africana,1.0555,0,3824.54,5208
Mozambique,Gorongosa NP,Aepyceros_melampus,1.2445,0,52.59,3688
Mozambique,Gorongosa NP,Alcelaphus_lichtensteinii,0.9347,0.5517,168.7,3688
Mozambique,Gorongosa NP,Connochaetes_taurinus,0,0.5517,198.62,3688
Mozambique,Gorongosa NP,Equus_burchellii,0.8568,0.5517,279.16,3688
Mozambique,Gorongosa NP,Hippopotamus_amphibius,0.9089,0.5517,1536.31,3688
Mozambique,Gorongosa NP,Hippotragus_niger,0.9613,0.5517,236.41,3688
Mozambique,Gorongosa NP,Kobus_ellipsiprymnus,0.9732,0.5517,204.39,3688
Mozambique,Gorongosa NP,Loxodonta_africana,0.9526,0.5517,3824.54,3688
Mozambique,Gorongosa NP,Ourebia_ourebi,1.2879,0,17.19,3688
Mozambique,Gorongosa NP,Phacochoerus_africanus,1.2803,0,82.5,3688
Mozambique,Gorongosa NP,Potamochoerus_larvatus,0.6593,0,69.06,3688
Mozambique,Gorongosa NP,Redunca_arundinum,1.3008,0,58.06,3688
Mozambique,Gorongosa NP,Sylvicapra_grimmia,0.809,0,15.64,3688
Mozambique,Gorongosa NP,Syncerus_caffer,0,0.5517,592.67,3688
Mozambique,Gorongosa NP,Taurotragus_oryx,0,0.5517,562.59,3688
Mozambique,Gorongosa NP,Tragelaphus_angasii,1.1372,0,87.62,3688
Mozambique,Gorongosa NP,Tragelaphus_strepsiceros,1.1989,0,206.06,3688
Mozambique,Gorongosa NP,Tragelaphus_sylvaticus,1.1163,0,43.25,3688
South_Africa,Hluhluwe GR and Umfolozi GR,Loxodonta_africana,1.0424,0,3824.54,589
Zimbabwe,Hwange NP and Deka Safari Area,Loxodonta_africana,1.1349,0,3824.54,15161
Zimbabwe,Hwange NP,Loxodonta_africana,1.0369,0,3824.54,14651
South_Africa,Ithala Nature Reserve,Loxodonta_africana,1.1006,0,3824.54,293
Zambia,Kafue NP,Kobus_leche,1.1229,0,88.65,22400
Zambia,Kafue NP,Loxodonta_africana,0.9076,0,3824.54,22400
Uganda,Kaiso Tonya Community Wildlife Management Area,Kobus_kob,0.9123,0.375,80.04,107
Uganda,Kaiso Tonya Community Wildlife Management Area,Sylvicapra_grimmia,0.9248,0.375,15.64,107
Malawi,Kasungu NP,Loxodonta_africana,0.8141,0,3824.54,2316
Tanzania,Katavi NP & Rukwa Game Controlled Area,Loxodonta_africana,1.0122,0,3824.54,6196
Tanzania,Katavi NP,Loxodonta_africana,1.0036,0,3824.54,4208
Kenya,Kerio Valley National Reserve,Loxodonta_africana,0.9529,0.3333,3824.54,66
Namibia,Khaudum NP &  Nyae-Nyae Conservancy,Loxodonta_africana,1.2495,0.0143,3824.54,12834
Uganda,Kidepo Valley NP,Loxodonta_africana,0.9312,0.5333,3824.54,1430
South_Africa,Klaserie Private Nature Reserve,Loxodonta_africana,1.091,0,3824.54,594
South_Africa,Kruger NP,Aepyceros_melampus,0.9991,0.8421,52.59,19175
South_Africa,Kruger NP,Connochaetes_gnou,0.9464,0.7684,156.55,19175
South_Africa,Kruger NP,Connochaetes_taurinus,1.0557,0.8421,198.62,19175
South_Africa,Kruger NP,Damaliscus_lunatus,0.9865,0.8421,136,19175
South_Africa,Kruger NP,Equus_burchellii,1.0275,0.8421,279.16,19175
South_Africa,Kruger NP,Giraffa_camelopardalis,1.0021,0.8421,964.65,19175
South_Africa,Kruger NP,Hippotragus_equinus,0.9057,0.8421,264.17,19175
South_Africa,Kruger NP,Hippotragus_niger,1.0111,0.8421,236.41,19175
South_Africa,Kruger NP,Kobus_ellipsiprymnus,1,0.8421,204.39,19175
South_Africa,Kruger NP,Loxodonta_africana,1,0.8421,3824.54,19175
South_Africa,Kruger NP,Phacochoerus_africanus,0.9449,0.8421,82.5,19175
South_Africa,Kruger NP,Syncerus_caffer,1.0145,0.2554,592.67,19175
South_Africa,Kruger NP,Taurotragus_oryx,1.0324,0.8421,562.59,19175
South_Africa,Kruger NP,Tragelaphus_strepsiceros,0.9686,0.8421,206.06,19175
Uganda,Lake Mburo NP,Aepyceros_melampus,0.9549,0.5,52.59,370
Uganda,Lake Mburo NP,Equus_burchellii,1.0332,0.5,279.16,370
Uganda,Lake Mburo NP,Hippopotamus_amphibius,0.8751,0.5,1536.31,370
