"Female","Month","Repro","BCI","NewMeanGroup","Rain"
"1","Longnose","Sep","LPY","2",4.18,50.8
"2","Amanda","Jul","LPY","3",4.92,19
"3","Mollie","Jul","LPY","1",3,19
"4","Odette","Sep","LPY","3",6.09,50.8
"5","Alison","Oct","LPY","3",2.75,59.55
"6","Brigit","Sep","LPY","2",6.09,50.8
"7","Firefly","Sep","LPY","2",4.58,50.8
"8","Hazel","Sep","LPY","3",6.13,50.8
"9","Apanie","Oct","LPY","1",4.8,59.55
"10","Brigit","Oct","LPY","2",3.7,59.55
"11","Hazel","Oct","LPY","3",6.27,27.8
"12","Robin","Nov","LPY","1",3.22,37.1
"13","Sally","Jul","LPY","2",3.5,19
"14","Anne","Aug","LPY","2",6.09,19
"15","Lauren","Aug","LPY","2",4.2,12.75
"16","Alison","Sep","LPY","3",4.82,50.8
"17","Candice","Sep","LPY","3",8,50.8
"18","Celine","Sep","LPY","2",8.17,50.8
"19","Tilly","Sep","LPY","3",4.58,50.8
"20","Domino","Oct","LPY","2",4.09,59.55
"21","Ellie","Oct","LPY","1",3.63,59.55
"22","Goggles","Oct","LPY","3",3,59.55
"23","Hazel","Oct","LPY","3",4.13,59.55
"24","Kiwi","Oct","LPY","3",5.44,59.55
"25","Longnose","Oct","LPY","2",4.78,59.55
"26","Granite","Dec","LPY","2",7,78.5
"27","Shaddow","Dec","LPY","3",5.25,78.5
"28","Odette","Aug","LPY","3",6.2,54.5
"29","Longnose","Sep","LPY","2",6.83,6
"30","Stripes","Sep","LPY","2",5.08,50.8
"31","Dot","Oct","LPY","1",5.25,59.55
"32","Joy","Oct","LPY","3",4.38,59.55
"33","Tilly","Oct","LPY","3",3,59.55
"34","Themeda","Dec","LPY","3",5.11,78.5
"35","Apanie","Sep","LPY","2",17.81,2.8
"36","Candice","Sep","LPY","2",11.17,2.8
"37","Lauren","Sep","LPY","3",10.2,2.8
"38","Candice","Oct","LPY","2",2.85,27.8
"39","Darcy","Oct","LPY","1",8.17,27.8
"40","Shaddow","Oct","LPY","2",3.38,27.8
"41","Camilla","Nov","LPY","1",6,37.1
"42","Justine","Nov","LPY","1",2.33,37.1
